year	    det/mc	                expt	              stream	                tier	files	events	size	TB	size/event	MB
2018	  detector	                 ALL	               noise	  full-reconstructed	179	46646	 2.085	TB	44.691	MB
2018	  detector	                 ALL	                test	  full-reconstructed	6249	2661343	54.579	TB	20.508	MB
2018	  detector	                 ALL	             cosmics	  full-reconstructed	6887	945661	115.909	TB	122.570	MB
2018	  detector	                 ALL	         calibration	  full-reconstructed	3772	3628143	 5.954	TB	 1.641	MB
2018	  detector	                 ALL	             physics	  full-reconstructed	58945	7463848	981.976	TB	131.564	MB
2018	  detector	                 ALL	                out2	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	            pedestal	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	               study	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	             physics	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	              fardet	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	             neardet	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	                 ALL	  full-reconstructed	76093	14753666	1160.566	TB	78.663	MB
2018	  detector	        protodune-sp	                out1	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	               noise	  full-reconstructed	179	46646	 2.085	TB	44.691	MB
2018	  detector	        protodune-sp	                test	  full-reconstructed	6249	2661343	54.579	TB	20.508	MB
2018	  detector	        protodune-sp	             cosmics	  full-reconstructed	6887	945661	115.909	TB	122.570	MB
2018	  detector	        protodune-sp	         calibration	  full-reconstructed	3772	3628143	 5.954	TB	 1.641	MB
2018	  detector	        protodune-sp	             physics	  full-reconstructed	58945	7463848	981.976	TB	131.564	MB
2018	  detector	        protodune-sp	                out2	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	            pedestal	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	               study	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-dp	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	             iceberg	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-sp	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	   vd-coldbox-bottom	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	      vd-coldbox-top	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	          hd-coldbox	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-hd	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-vd	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	dc4-vd-coldbox-bottom	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	  dc4-vd-coldbox-top	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        hd-protodune	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	                 ALL	  detector-simulated	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	                 ALL	          root-tuple	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	                 ALL	         decoded-raw	90052	13792301	252.004	TB	18.271	MB
2018	  detector	                 ALL	                out1	         decoded-raw	4022	463437	21.268	TB	45.891	MB
2018	  detector	                 ALL	               noise	         decoded-raw	10485	1496271	40.342	TB	26.962	MB
2018	  detector	                 ALL	                test	         decoded-raw	10563	3144120	22.299	TB	 7.092	MB
2018	  detector	                 ALL	             cosmics	         decoded-raw	15106	1612985	39.725	TB	24.628	MB
2018	  detector	                 ALL	         calibration	         decoded-raw	2388	1490233	 3.327	TB	 2.232	MB
2018	  detector	                 ALL	             physics	         decoded-raw	44362	2541007	125.021	TB	49.201	MB
2018	  detector	                 ALL	                out2	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	            pedestal	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	               study	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	             physics	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	              fardet	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	             neardet	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	                 ALL	         decoded-raw	90052	13792301	252.004	TB	18.271	MB
2018	  detector	        protodune-sp	                out1	         decoded-raw	4022	463437	21.268	TB	45.891	MB
2018	  detector	        protodune-sp	               noise	         decoded-raw	10485	1496271	40.342	TB	26.962	MB
2018	  detector	        protodune-sp	                test	         decoded-raw	10563	3144120	22.299	TB	 7.092	MB
2018	  detector	        protodune-sp	             cosmics	         decoded-raw	15106	1612985	39.725	TB	24.628	MB
2018	  detector	        protodune-sp	         calibration	         decoded-raw	2388	1490233	 3.327	TB	 2.232	MB
2018	  detector	        protodune-sp	             physics	         decoded-raw	44362	2541007	125.021	TB	49.201	MB
2018	  detector	        protodune-sp	                out2	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	            pedestal	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	               study	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-dp	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	             iceberg	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-sp	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	   vd-coldbox-bottom	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	      vd-coldbox-top	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	          hd-coldbox	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-hd	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-vd	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	dc4-vd-coldbox-bottom	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	  dc4-vd-coldbox-top	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	        hd-protodune	                 ALL	         decoded-raw	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	                 ALL	        pandora_info	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	                 ALL	   reco-recalibrated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                 ALL	                 ALL	321683	51721595	71.839	TB	 1.389	MB
2018	        mc	                 ALL	                out1	                 ALL	321683	51721595	71.839	TB	 1.389	MB
2018	        mc	                 ALL	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                test	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                 ALL	                 ALL	119621	11961340	57.587	TB	 4.814	MB
2018	        mc	             physics	                out1	                 ALL	119621	11961340	57.587	TB	 4.814	MB
2018	        mc	             physics	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                test	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                 ALL	                 ALL	202062	39760255	14.252	TB	 0.358	MB
2018	        mc	              fardet	                out1	                 ALL	202062	39760255	14.252	TB	 0.358	MB
2018	        mc	              fardet	               noise	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                test	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	             cosmics	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	         calibration	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	             physics	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                out2	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	            pedestal	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	               study	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             neardet	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	        protodune-sp	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	        protodune-dp	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	             iceberg	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-sp	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	   vd-coldbox-bottom	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	      vd-coldbox-top	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	          hd-coldbox	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-hd	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-vd	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	dc4-vd-coldbox-bottom	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	  dc4-vd-coldbox-top	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	        hd-protodune	                 ALL	                 ALL	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                 ALL	           simulated	202062	39760255	14.252	TB	 0.358	MB
2018	        mc	                 ALL	                out1	           simulated	202062	39760255	14.252	TB	 0.358	MB
2018	        mc	                 ALL	               noise	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                test	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             cosmics	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	         calibration	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             physics	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                out2	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	            pedestal	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	               study	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                 ALL	           simulated	202062	39760255	14.252	TB	 0.358	MB
2018	        mc	              fardet	                out1	           simulated	202062	39760255	14.252	TB	 0.358	MB
2018	        mc	              fardet	               noise	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                test	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	             cosmics	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	         calibration	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	             physics	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                out2	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	            pedestal	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	               study	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	             neardet	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	        protodune-sp	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	        protodune-dp	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	             iceberg	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-sp	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	   vd-coldbox-bottom	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	      vd-coldbox-top	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	          hd-coldbox	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-hd	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-vd	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	dc4-vd-coldbox-bottom	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	  dc4-vd-coldbox-top	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	        hd-protodune	                 ALL	           simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                 ALL	                 raw	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                 ALL	  full-reconstructed	59529	5952425	39.121	TB	 6.572	MB
2018	        mc	                 ALL	                out1	  full-reconstructed	59529	5952425	39.121	TB	 6.572	MB
2018	        mc	                 ALL	               noise	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                test	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             cosmics	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	         calibration	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             physics	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                out2	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	            pedestal	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	               study	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                 ALL	  full-reconstructed	59529	5952425	39.121	TB	 6.572	MB
2018	        mc	             physics	                out1	  full-reconstructed	59529	5952425	39.121	TB	 6.572	MB
2018	        mc	             physics	               noise	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                test	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	             cosmics	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	         calibration	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	             physics	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	                out2	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	            pedestal	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             physics	               study	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	              fardet	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             neardet	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	        protodune-sp	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	        protodune-dp	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	             iceberg	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-sp	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	   vd-coldbox-bottom	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	      vd-coldbox-top	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	          hd-coldbox	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-hd	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	           fardet-vd	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	dc4-vd-coldbox-bottom	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	  dc4-vd-coldbox-top	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	        hd-protodune	                 ALL	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                 ALL	  detector-simulated	60092	6008915	18.466	TB	 3.073	MB
2018	        mc	                 ALL	                out1	  detector-simulated	60092	6008915	18.466	TB	 3.073	MB
2018	        mc	                 ALL	               noise	  detector-simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	                test	  detector-simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             cosmics	  detector-simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	         calibration	  detector-simulated	0	0	 0.000	TB	 0.000	MB
2018	        mc	                 ALL	             physics	  detector-simulated	0	0	 0.000	TB	 0.000	MB
