   time in kHS23-Hrs by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Nebraska,      0.000,      0.000,      0.204,      0.000,      0.000,      6.124,     25.513,      0.000,      0.000,      0.000,      0.000,      0.000,    31.841
US_NotreDame,      0.242,      0.000,     31.240,     38.542,     25.032,     20.255,      9.166,     10.270,     14.234,      0.624,      1.216,      9.647,   160.468
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      9.834,      8.087,      0.000,      0.000,      0.000,      0.000,      0.000,    17.921
US_PuertoRico,      3.461,     11.906,     43.860,      6.068,     15.924,     39.954,      5.452,      1.311,      3.121,      5.858,      4.726,     16.910,   158.551
US_SU-ITS,      0.000,      0.000,     14.782,     65.195,     69.574,    469.366,    348.530,     41.663,     29.294,     15.637,     17.855,    249.497,  1321.392
US_Swan,      0.000,      0.000,      0.392,      0.211,      3.326,      0.796,      0.464,      0.857,      0.835,      0.074,      0.181,      1.607,     8.743
US_UCSD,     13.150,     20.228,     43.820,     30.737,     32.128,     56.086,      6.322,      4.111,     18.982,      7.823,     15.583,     24.357,   273.327
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,     52.174,     91.650,     20.834,     78.046,     23.997,     56.428,    261.499,   584.627
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      2.034,     22.049,      3.812,     13.339,     51.414,     47.352,     19.107,   159.107
US_WSU,      8.033,      7.529,     61.067,     88.875,     67.651,     53.835,      0.812,      0.117,      0.440,      0.013,      0.369,      2.555,   291.296
US_Wisconsin,     19.261,     73.254,     32.362,     20.497,     20.098,    100.271,      5.621,     10.712,     13.506,      4.065,      0.678,     22.962,   323.286
undefined,    144.578,    251.942,    270.071,    199.129,     14.787,     78.584,      9.487,      0.627,      0.000,    112.339,     27.870,     28.228,  1137.641
Total,  14904.296,  12627.947,  38851.510,  39819.899,  32765.110,  28703.585,  21126.507,  14151.592,  34173.118,  38818.874,  21210.364,  18910.450,316063.252
