detector,datatype,resource,location,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
FDHD,TP,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
FDHD,Test,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
FDHD,Sim-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
FDVD,Raw-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
FDVD,TP,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
FDVD,Test,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
FDVD,Sim-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
ND-SAND,Raw-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ND-SAND,Test,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-SAND,Sim-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,20.0,30.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ND-LAr+TMS,Raw-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ND-LAr+TMS,Test,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-LAr+TMS,Sim-Events,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Total,Raw-Events,input,ALL,Million,10.9,19.9,7.4,2.0,0.0,0.0,25.1,25.4,10.1,0.0,0.0,3.3000000000000003,34.4,34.4,34.4,34.4,34.4,34.4,36.6,36.6,36.6,36.6,36.6
Total,Test,input,ALL,TB,157.0,642.0,1000.0,231.0,1000.0,3000.0,3200.0,2700.0,3750.0,6300.0,7100.0,7100.0,7100.0,7100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0
Total,Sim-Events,input,ALL,Million,2.6,10.0,10.0,15.0,10.0,45.1,47.1,42.1,50.1,50.1,70.0,85.0,95.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
Total,TP,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2050.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0
SP,Total,input,ALL,Million,12.200000000000001,24.4,11.5,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Total,input,ALL,TB,157.0,600.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Total,input,ALL,Million,0.0,0.0,0.0,0.0,5.0,5.0,25.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Total,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Total,input,ALL,Million,1.3,5.5,5.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Total,input,ALL,TB,0.0,42.0,500.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Total,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,5.1,10.2,25.5,10.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Total,input,ALL,TB,0.0,0.0,0.0,0.0,1000.0,1000.0,2000.0,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Total,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,31.1,32.2,32.2,32.2,32.2,32.2,32.2,33.3,33.3,33.3,33.3,33.3
FDHD,Total,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
FDVD,Total,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,32.2,32.2,32.2,32.2,32.2,32.2,32.2,33.3,33.3,33.3,33.3,33.3
FDVD,Total,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0
ND-SAND,Total,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,20.0,45.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
ND-SAND,Total,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-LAr+TMS,Total,input,ALL,Million,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,20.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
ND-LAr+TMS,Total,input,ALL,TB,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Total,Total,input,ALL,Million,13.5,29.9,17.4,17.0,10.0,45.1,72.2,67.5,60.2,50.1,70.0,88.3,129.4,214.4,214.4,214.4,214.4,214.4,216.6,216.6,216.6,216.6,216.6
Total,Total,input,ALL,TB,157.0,642.0,1000.0,231.0,1000.0,3000.0,5200.0,4700.0,5800.0,11400.0,12200.0,12200.0,12200.0,12200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0
SP,Raw-Data,Store,ALL,TB,763.0,1358.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Test,Store,ALL,TB,157.0,600.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Raw-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,TP,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Test,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Raw-Data,Store,ALL,TB,0.0,55.0,99.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Test,Store,ALL,TB,0.0,42.0,500.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Raw-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,561.0,2244.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,TP,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Test,Store,ALL,TB,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Raw-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4125.0,8250.0,8250.0,8250.0,8250.0,8250.0,8250.0,12375.0,12375.0,12375.0,12375.0,12375.0
FDHD,TP,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
FDHD,Test,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
FDVD,Raw-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,26400.0,26400.0,26400.0,26400.0,26400.0
FDVD,TP,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
FDVD,Test,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
ND-SAND,Raw-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
ND-SAND,Test,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-LAr+TMS,Raw-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
ND-LAr+TMS,Test,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
SP,Reco-Data,CPU,ALL,MHr,1.81703,5.05101,6.13456,6.13456,6.13456,6.13456,6.13456,6.13456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Reco-Data,Store,ALL,TB,381.5,1060.5,1288.0,1288.0,1288.0,1288.0,1288.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Reco-Sim,CPU,ALL,MHr,0.9750000000000001,3.75,3.75,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Reco-Sim,Store,ALL,TB,286.0,1100.0,1100.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Reco-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,3.3339999999999996,4.1674999999999995,5.0009999999999994,5.0009999999999994,5.0009999999999994,5.0009999999999994,5.0009999999999994,5.0009999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Reco-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,700.0,875.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Reco-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Reco-Sim,Store,ALL,TB,0.0,0.0,0.0,0.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Reco-Data,CPU,ALL,MHr,0.0,0.08335,0.23337999999999998,0.56678,0.56678,0.56678,0.56678,0.56678,0.56678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Reco-Data,Store,ALL,TB,0.0,17.5,49.0,119.0,119.0,119.0,119.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Reco-Sim,CPU,ALL,MHr,0.9750000000000001,3.75,3.75,3.75,3.75,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Reco-Sim,Store,ALL,TB,286.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Reco-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.8501699999999999,4.25085,5.10102,5.10102,5.10102,5.10102,5.10102,5.10102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Reco-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,102.0,510.0,612.0,612.0,612.0,612.0,612.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Reco-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,3.8249999999999997,3.8249999999999997,3.8249999999999997,3.8249999999999997,3.8249999999999997,3.8249999999999997,3.8249999999999997,3.8249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Reco-Sim,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Reco-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,4.125,6.875,9.625,12.375,15.125,17.875,22.0,26.125,30.25,34.375,38.5
FDHD,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Reco-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,66.0,110.0,154.0,198.0,242.0,286.0,352.0,418.0,484.0,550.0,616.0
FDHD,Reco-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,1.875,1.875,1.875,1.875,1.875,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
FDHD,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Reco-Sim,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
FDVD,Reco-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9260000000000006,5.852000000000001,8.778000000000002,11.704000000000002,14.630000000000003,17.556000000000004,20.482000000000006,24.871000000000006,29.260000000000005,33.64900000000001,38.03800000000001,42.427000000000014
FDVD,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22000000000000003,0.44000000000000006,0.6600000000000001,0.8800000000000001,1.1,1.32,1.54,1.87,2.2,2.5300000000000002,2.8600000000000003,3.1900000000000004
FDVD,Reco-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,88.0,132.0,176.0,220.0,264.0,308.0,374.0,440.0,506.0,572.0,638.0
FDVD,Reco-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,1.875,1.875,1.875,1.875,1.875,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
FDVD,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
FDVD,Reco-Sim,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
ND-SAND,Reco-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.066,0.099,0.132,0.165,0.198,0.231,0.264,0.29700000000000004,0.33000000000000007,0.3630000000000001
ND-SAND,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND-SAND,Reco-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1050.0,1200.0,1350.0,1500.0,1650.0
ND-SAND,Reco-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,1.2,1.2,1.2,4.8,7.199999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999,14.399999999999999
ND-SAND,Reco-Sim,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND-SAND,Reco-Sim,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,125.0,125.0,125.0,500.0,750.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
ND-LAr+TMS,Reco-Data,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,22.8,34.2,45.6,57.0,68.4,79.80000000000001,91.20000000000002,102.60000000000002,114.00000000000003,125.40000000000003
ND-LAr+TMS,Reco-Data,GPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,22.8,34.2,45.6,57.0,68.4,79.80000000000001,91.20000000000002,102.60000000000002,114.00000000000003,125.40000000000003
ND-LAr+TMS,Reco-Data,Store,ALL,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,600.0,900.0,1200.0,1500.0,1800.0,2100.0,2400.0,2700.0,3000.0,3300.0
ND-LAr+TMS,Reco-Sim,CPU,ALL,MHr,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.6,23.0,23.0,23.0,23.0,23.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0
