year,    det/mc,                expt,              stream,                tier,files,events,size,TB,size/event,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,         decoded-raw,"90,052.00","13,792,301.00",252.00,TB,18.271,MB,,,,,,,,,,
ALL,  detector,                 ALL,               study,                 ALL,"72,421.00","5,159,985.00",232.63,TB,45.083,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,               study,                 ALL,"72,421.00","5,159,985.00",232.63,TB,45.083,MB,,,,,,,,,,
ALL,  detector,                 ALL,               study,                 raw,"66,961.00","4,561,025.00",225.42,TB,49.422,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,               study,                 raw,"66,961.00","4,561,025.00",225.42,TB,49.422,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,   hit-reconstructed,"102,566.00","14,158,950.00",222.23,TB,15.695,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,   hit-reconstructed,"89,902.00","13,780,851.00",213.63,TB,15.502,MB,,,,,,,,,,
ALL,  detector,dc4-vd-coldbox-bottom,                 ALL,                 ALL,"49,327.00","3,056,585.00",211.36,TB,69.149,MB,,,,,,,,,,
ALL,  detector,dc4-vd-coldbox-bottom,                 ALL,                 raw,"49,327.00","3,056,585.00",211.36,TB,69.149,MB,,,,,,,,,,
ALL,  detector,dc4-vd-coldbox-bottom,                test,                 ALL,"49,327.00","3,056,585.00",211.36,TB,69.149,MB,,,,,,,,,,
ALL,  detector,dc4-vd-coldbox-bottom,                test,                 raw,"49,327.00","3,056,585.00",211.36,TB,69.149,MB,,,,,,,,,,
ALL,  detector,                 ALL,                test,  full-reconstructed,"31,221.00","6,091,342.00",177.01,TB,29.059,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,                 ALL,"283,882.00","71,497,410.00",171.61,TB,2.4,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out1,                 ALL,"283,882.00","71,497,410.00",171.61,TB,2.4,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,  full-reconstructed,"279,219.00","45,815,385.00",169.24,TB,3.694,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out1,  full-reconstructed,"279,219.00","45,815,385.00",169.24,TB,3.694,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,             cosmics,                 ALL,"57,922.00","939,418.00",151.07,TB,160.808,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                test,  full-reconstructed,"12,458.00","4,031,133.00",150.56,TB,37.35,MB,,,,,,,,,,
ALL,  detector,                 ALL,         calibration,                 ALL,"64,135.00","40,603,145.00",150.22,TB,3.7,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,         calibration,                 ALL,"64,135.00","40,603,145.00",150.22,TB,3.7,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,             cosmics,                 raw,"40,863.00","429,822.00",140.31,TB,326.434,MB,,,,,,,,,,
ALL,  detector,                 ALL,         calibration,                 raw,"55,201.00","33,968,921.00",136.73,TB,4.025,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,         calibration,                 raw,"55,201.00","33,968,921.00",136.73,TB,4.025,MB,,,,,,,,,,
ALL,  detector,                 ALL,             physics,   hit-reconstructed,"44,283.00","2,535,322.00",126.76,TB,49.997,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             physics,   hit-reconstructed,"44,283.00","2,535,322.00",126.76,TB,49.997,MB,,,,,,,,,,
ALL,  detector,                 ALL,             physics,         decoded-raw,"44,362.00","2,541,007.00",125.02,TB,49.201,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             physics,         decoded-raw,"44,362.00","2,541,007.00",125.02,TB,49.201,MB,,,,,,,,,,
