"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per month",filters,"Sum of SlotHours"
"UK_RAL-Tier1",1643695200000,Analysis,"217507.98098833332"
"UK_RAL-Tier1",1643695200000,Production,"236175.62486111114"
"UK_RAL-Tier1",1643695200000,MARS,0
"UK_RAL-Tier1",1643695200000,Total,"453683.60584944446"
"UK_RAL-Tier1",1646114400000,Analysis,"113915.17515"
"UK_RAL-Tier1",1646114400000,Production,"2758.588097222222"
"UK_RAL-Tier1",1646114400000,MARS,0
"UK_RAL-Tier1",1646114400000,Total,"116673.76324722222"
"UK_RAL-Tier1",1648789200000,Analysis,"45733.56388527778"
"UK_RAL-Tier1",1648789200000,Production,"37009.97895833333"
"UK_RAL-Tier1",1648789200000,MARS,0
"UK_RAL-Tier1",1648789200000,Total,"82743.54284361111"
"UK_RAL-Tier1",1651381200000,Analysis,"55719.300448055554"
"UK_RAL-Tier1",1651381200000,Production,"4229.699861111111"
"UK_RAL-Tier1",1651381200000,MARS,0
"UK_RAL-Tier1",1651381200000,Total,"59949.000309166666"
"UK_RAL-Tier1",1654059600000,Analysis,"51507.584659583335"
"UK_RAL-Tier1",1654059600000,Production,"53025.47555555555"
"UK_RAL-Tier1",1654059600000,MARS,0
"UK_RAL-Tier1",1654059600000,Total,"104533.06021513889"
"UK_RAL-Tier1",1656651600000,Analysis,"18681.34693388889"
"UK_RAL-Tier1",1656651600000,Production,"6545.529555555555"
"UK_RAL-Tier1",1656651600000,MARS,0
"UK_RAL-Tier1",1656651600000,Total,"25226.876489444447"
"UK_RAL-Tier1",1659330000000,Analysis,"73321.2037838889"
"UK_RAL-Tier1",1659330000000,Production,"396719.6621666667"
"UK_RAL-Tier1",1659330000000,MARS,0
"UK_RAL-Tier1",1659330000000,Total,"470040.8659505556"
"UK_RAL-Tier1",1662008400000,Analysis,"6811.2001480555555"
"UK_RAL-Tier1",1662008400000,Production,"29668.97638888889"
"UK_RAL-Tier1",1662008400000,MARS,0
"UK_RAL-Tier1",1662008400000,Total,"36480.17653694444"
"UK_RAL-Tier1",1664600400000,Analysis,"78147.65623847222"
"UK_RAL-Tier1",1664600400000,Production,"9779.699444444444"
"UK_RAL-Tier1",1664600400000,MARS,0
"UK_RAL-Tier1",1664600400000,Total,"87927.35568291666"
"UK_RAL-Tier1",1667278800000,Analysis,"101645.49985236111"
"UK_RAL-Tier1",1667278800000,Production,"25779.09420763889"
"UK_RAL-Tier1",1667278800000,MARS,0
"UK_RAL-Tier1",1667278800000,Total,"127424.59405999999"
"UK_RAL-Tier1",1669874400000,Analysis,"71097.49784777778"
"UK_RAL-Tier1",1669874400000,Production,"86142.16215277778"
"UK_RAL-Tier1",1669874400000,MARS,0
"UK_RAL-Tier1",1669874400000,Total,"157239.66000055557"
"UK_RAL-Tier1",1672552800000,Analysis,"194388.27852041667"
"UK_RAL-Tier1",1672552800000,Production,"107653.45170833333"
"UK_RAL-Tier1",1672552800000,MARS,0
"UK_RAL-Tier1",1672552800000,Total,"302041.73022875004"
"UK_RAL-Tier1",1675231200000,Analysis,"56195.08884875"
"UK_RAL-Tier1",1675231200000,Production,"8010.504013888889"
"UK_RAL-Tier1",1675231200000,MARS,0
"UK_RAL-Tier1",1675231200000,Total,"64205.59286263889"
"UK_RAL-Tier1",1677650400000,Analysis,"41141.34693958333"
"UK_RAL-Tier1",1677650400000,Production,"1572.1649305555554"
"UK_RAL-Tier1",1677650400000,MARS,0
"UK_RAL-Tier1",1677650400000,Total,"42713.51187013889"
"UK_RAL-Tier1",1680325200000,Analysis,"49302.455722638886"
"UK_RAL-Tier1",1680325200000,Production,"60289.051666666666"
"UK_RAL-Tier1",1680325200000,MARS,0
"UK_RAL-Tier1",1680325200000,Total,"109591.50738930555"
"UK_RAL-Tier1",1682917200000,Analysis,"42525.66934027778"
"UK_RAL-Tier1",1682917200000,Production,"29892.232527222222"
"UK_RAL-Tier1",1682917200000,MARS,0
"UK_RAL-Tier1",1682917200000,Total,"72417.9018675"
"UK_RAL-Tier1",1685595600000,Analysis,"16624.452072777778"
"UK_RAL-Tier1",1685595600000,Production,"65664.81652777777"
"UK_RAL-Tier1",1685595600000,MARS,0
"UK_RAL-Tier1",1685595600000,Total,"82289.26860055556"
"UK_RAL-Tier1",1688187600000,Analysis,"168629.611125"
"UK_RAL-Tier1",1688187600000,Production,"135653.23783055556"
"UK_RAL-Tier1",1688187600000,MARS,0
"UK_RAL-Tier1",1688187600000,Total,"304282.8489555556"
"UK_RAL-Tier1",1690866000000,Analysis,"108875.66851083333"
"UK_RAL-Tier1",1690866000000,Production,"58619.35034722222"
"UK_RAL-Tier1",1690866000000,MARS,0
"UK_RAL-Tier1",1690866000000,Total,"167495.01885805556"
"UK_RAL-Tier1",1693544400000,Analysis,0
"UK_RAL-Tier1",1693544400000,Production,"89994.09479166666"
"UK_RAL-Tier1",1693544400000,MARS,0
"UK_RAL-Tier1",1693544400000,Total,"89994.09479166666"
"UK_RAL-Tier1",1696136400000,Analysis,"0.22555555555555556"
"UK_RAL-Tier1",1696136400000,Production,"34.522499999999994"
"UK_RAL-Tier1",1696136400000,MARS,0
"UK_RAL-Tier1",1696136400000,Total,"34.74805555555555"
"UK_RAL-Tier1",1698814800000,Analysis,"17126.00145888889"
"UK_RAL-Tier1",1698814800000,Production,"16.068055555555556"
"UK_RAL-Tier1",1698814800000,MARS,0
"UK_RAL-Tier1",1698814800000,Total,"17142.069514444447"
CERN,1641016800000,Analysis,"87614.96650083334"
CERN,1641016800000,Production,"328742.0246388889"
CERN,1641016800000,MARS,0
CERN,1641016800000,Total,"416356.9911397222"
CERN,1643695200000,Analysis,"157986.44800444445"
CERN,1643695200000,Production,"58491.8575"
CERN,1643695200000,MARS,0
CERN,1643695200000,Total,"216478.30550444443"
CERN,1646114400000,Analysis,"114058.4925975"
CERN,1646114400000,Production,"54123.104583333334"
CERN,1646114400000,MARS,0
CERN,1646114400000,Total,"168181.59718083334"
CERN,1648789200000,Analysis,"56269.71569152778"
CERN,1648789200000,Production,"7100.507777777778"
CERN,1648789200000,MARS,0
CERN,1648789200000,Total,"63370.22346930556"
CERN,1651381200000,Analysis,"99737.58294569445"
CERN,1651381200000,Production,"10599.928194444445"
CERN,1651381200000,MARS,0
CERN,1651381200000,Total,"110337.51114013889"
CERN,1654059600000,Analysis,"124271.68873291666"
CERN,1654059600000,Production,"51852.13159722222"
CERN,1654059600000,MARS,0
CERN,1654059600000,Total,"176123.8203301389"
CERN,1656651600000,Analysis,"99837.74715291667"
CERN,1656651600000,Production,"40706.257541666666"
CERN,1656651600000,MARS,0
CERN,1656651600000,Total,"140544.00469458333"
CERN,1659330000000,Analysis,"123948.98210694444"
CERN,1659330000000,Production,"599278.3656666667"
CERN,1659330000000,MARS,0
CERN,1659330000000,Total,"723227.3477736111"
CERN,1662008400000,Analysis,"40759.67127333333"
CERN,1662008400000,Production,"34006.87573611111"
CERN,1662008400000,MARS,0
CERN,1662008400000,Total,"74766.54700944445"
CERN,1664600400000,Analysis,"24351.17172875"
CERN,1664600400000,Production,"34184.202000000005"
CERN,1664600400000,MARS,0
CERN,1664600400000,Total,"58535.37372875"
CERN,1667278800000,Analysis,"60640.53866041666"
CERN,1667278800000,Production,"6222.200066666666"
CERN,1667278800000,MARS,0
CERN,1667278800000,Total,"66862.73872708333"
CERN,1669874400000,Analysis,"48976.987956944446"
CERN,1669874400000,Production,"25265.808855555555"
CERN,1669874400000,MARS,0
CERN,1669874400000,Total,"74242.7968125"
CERN,1672552800000,Analysis,"93489.84957722222"
CERN,1672552800000,Production,"21659.742430555554"
CERN,1672552800000,MARS,0
CERN,1672552800000,Total,"115149.59200777777"
CERN,1675231200000,Analysis,"37986.40630041667"
